asset_id,label,nmap_tcpdump_text,bytes_in,bytes_out,pkts_in,pkts_out,flows_5m,uniq_dst,diurnal_ratio,server_role_ratio,port_22,port_80,port_443,proto_tcp,proto_udp
asset_001,server,80/tcp open http Apache httpd 2.4.41,27855092,797233790,289389,257787,114,18,0.736,0.677,0,1,0,0,0
asset_002,workstation,53/udp open domain BIND 9.16.1,250817734,543621108,632262,28824,287,26,0.716,0.701,1,0,1,1,0
asset_003,iot,443/tcp open https nginx 1.18.0,750621470,454778756,357778,292369,79,28,0.957,0.337,0,1,0,1,1
asset_004,network_device,5900/tcp open vnc VNC protocol 3.8,285027113,867647391,46561,766179,235,69,0.125,0.922,0,1,1,0,0
asset_005,server,22/tcp open ssh OpenSSH 8.2p1,711026086,245703907,811620,304445,40,30,0.866,0.38,1,1,0,1,1
asset_006,workstation,53/udp open domain BIND 9.16.1,720595113,287665249,736911,983153,349,83,0.071,0.635,0,0,1,1,1
asset_007,iot,8080/tcp open http-proxy Squid 4.10,236809993,736098955,341035,884794,393,100,0.056,0.822,1,1,1,0,0
asset_008,network_device,5900/tcp open vnc VNC protocol 3.8,941992571,771854579,330963,223955,335,64,0.396,0.915,1,0,1,0,0
asset_009,server,8080/tcp open http-proxy Squid 4.10,579722458,283116655,784300,613982,219,75,0.399,0.219,0,1,0,0,0
asset_010,workstation,443/tcp open https nginx 1.18.0,674715057,172779360,831555,714536,216,77,0.064,0.382,1,1,0,0,1
asset_011,iot,3306/tcp open mysql MySQL 5.7.31,120778234,316143362,456884,166840,232,1,0.954,0.876,1,0,0,1,0
asset_012,network_device,443/tcp open https nginx 1.18.0,402486939,819739736,170396,566579,488,100,0.922,0.918,1,1,0,0,1
asset_013,server,21/tcp open ftp vsftpd 3.0.3,258109965,63196678,253572,921659,290,11,0.086,0.486,0,0,0,1,0
asset_014,workstation,21/tcp open ftp vsftpd 3.0.3,567585408,937767846,637059,444692,493,28,0.929,0.755,0,1,1,1,1
asset_015,iot,8080/tcp open http-proxy Squid 4.10,485779555,130927269,260947,236612,32,44,0.021,0.554,0,0,0,0,0
asset_016,network_device,80/tcp open http Apache httpd 2.4.41,973187337,34729406,902393,347479,36,66,0.238,0.669,0,0,1,0,1
asset_017,server,1883/tcp open mqtt Mosquitto 1.6.9,205451095,102281557,102639,691993,220,46,0.424,0.467,0,0,0,1,1
asset_018,workstation,80/tcp open http Apache httpd 2.4.41,267992705,206718272,200448,563336,229,18,0.422,0.279,0,0,1,0,0
asset_019,iot,8080/tcp open http-proxy Squid 4.10,898677788,16846122,98793,972366,385,31,0.166,0.486,0,1,0,0,1
asset_020,network_device,22/tcp open ssh OpenSSH 8.2p1,420212169,285759615,972524,823157,401,59,0.285,0.697,1,0,0,1,0
asset_021,server,22/tcp open ssh OpenSSH 8.2p1,622890096,790991777,569532,64918,382,41,0.057,0.584,0,0,0,0,0
asset_022,workstation,5900/tcp open vnc VNC protocol 3.8,73972420,726003955,904682,247629,206,16,0.942,0.57,0,0,1,1,1
asset_023,iot,53/udp open domain BIND 9.16.1,720112790,770005091,330445,251280,135,51,0.131,0.646,1,1,0,0,1
asset_024,network_device,5900/tcp open vnc VNC protocol 3.8,605509817,108354053,77819,564750,109,65,0.265,0.933,0,0,1,1,0
asset_025,server,161/udp open snmp SNMPv2c,896226828,584275843,738715,318212,313,84,0.529,0.668,1,0,0,1,0
asset_026,workstation,80/tcp open http Apache httpd 2.4.41,798163846,595019365,163998,286577,144,78,0.211,0.343,1,1,1,0,0
asset_027,iot,1883/tcp open mqtt Mosquitto 1.6.9,891505735,298083132,47228,4717,170,99,0.131,0.98,0,1,1,0,0
asset_028,network_device,80/tcp open http Apache httpd 2.4.41,949228268,742976666,948837,157294,279,5,0.835,0.583,0,1,0,0,1
asset_029,server,3306/tcp open mysql MySQL 5.7.31,966274018,855829815,903512,42832,460,46,0.21,0.25,0,1,1,0,0
asset_030,workstation,443/tcp open https nginx 1.18.0,859872154,871559510,186652,925231,211,4,0.179,0.924,1,0,1,0,0
asset_031,iot,1883/tcp open mqtt Mosquitto 1.6.9,937481956,42580226,901300,494554,113,26,0.817,0.46,1,0,0,0,0
asset_032,network_device,1883/tcp open mqtt Mosquitto 1.6.9,353468587,300147754,907339,73792,495,99,0.279,0.641,1,1,0,0,1
asset_033,server,443/tcp open https nginx 1.18.0,624403479,286042337,41115,114668,305,56,0.346,0.786,1,0,1,0,1
asset_034,workstation,22/tcp open ssh OpenSSH 8.2p1,762052404,469213197,2773,546175,473,69,0.687,0.94,0,1,1,0,1
asset_035,iot,5900/tcp open vnc VNC protocol 3.8,338064353,713306873,890208,131679,368,39,0.507,0.667,1,1,1,0,0
asset_036,network_device,1883/tcp open mqtt Mosquitto 1.6.9,714962536,408104143,711219,785475,462,23,0.616,0.301,0,1,1,0,1
asset_037,server,5900/tcp open vnc VNC protocol 3.8,652397897,703984810,338902,488575,226,57,0.676,0.511,0,0,1,1,0
asset_038,workstation,53/udp open domain BIND 9.16.1,723408848,334310361,236552,846742,101,19,0.024,0.245,1,0,1,1,0
asset_039,iot,1883/tcp open mqtt Mosquitto 1.6.9,531833445,430123992,256836,155739,335,89,0.006,0.751,0,1,0,0,1
asset_040,network_device,22/tcp open ssh OpenSSH 8.2p1,599509918,268574609,963037,890545,62,59,0.133,0.465,1,1,1,1,0
asset_041,server,161/udp open snmp SNMPv2c,484258726,279304807,789295,260249,430,82,0.277,0.778,1,0,1,1,0
asset_042,workstation,21/tcp open ftp vsftpd 3.0.3,252785565,292751878,353161,336239,457,70,0.081,0.151,1,0,0,0,1
asset_043,iot,1883/tcp open mqtt Mosquitto 1.6.9,356281184,583624278,489557,436970,31,27,0.833,0.389,0,1,1,0,1
asset_044,network_device,21/tcp open ftp vsftpd 3.0.3,810037759,419744974,895905,935953,488,54,0.538,0.735,0,1,0,1,1
asset_045,server,161/udp open snmp SNMPv2c,32165166,418532243,353457,702364,347,52,0.724,0.841,0,0,1,0,0
asset_046,workstation,1883/tcp open mqtt Mosquitto 1.6.9,146706210,931774552,485125,191556,25,34,0.379,0.212,1,1,1,1,1
asset_047,iot,21/tcp open ftp vsftpd 3.0.3,897478772,88946147,494152,21324,383,70,0.052,0.952,0,0,0,0,0
asset_048,network_device,53/udp open domain BIND 9.16.1,902115118,22882877,652517,160784,122,17,0.474,0.114,0,1,1,1,0
asset_049,server,5900/tcp open vnc VNC protocol 3.8,653027025,804079055,754252,121096,398,21,0.965,0.108,0,1,1,1,0
asset_050,workstation,80/tcp open http Apache httpd 2.4.41,636760237,742541582,871917,658711,124,14,0.697,0.302,0,0,1,1,1
asset_051,iot,80/tcp open http Apache httpd 2.4.41,544271261,696294275,358806,14266,434,54,0.822,0.106,1,1,0,1,0
asset_052,network_device,8080/tcp open http-proxy Squid 4.10,699423334,290998761,646830,848458,470,69,0.775,0.465,1,1,0,0,1
asset_053,server,161/udp open snmp SNMPv2c,262846370,806817775,488282,598530,312,86,0.379,0.029,1,0,1,0,1
asset_054,workstation,21/tcp open ftp vsftpd 3.0.3,366436049,301281010,924082,626113,359,36,0.556,0.517,0,0,0,1,1
asset_055,iot,8080/tcp open http-proxy Squid 4.10,815073098,259045858,725156,500219,330,92,0.491,0.793,0,1,0,1,0
asset_056,network_device,21/tcp open ftp vsftpd 3.0.3,713921644,625440558,387945,497249,283,68,0.344,0.997,1,1,1,1,1
asset_057,server,21/tcp open ftp vsftpd 3.0.3,248538338,130553265,757321,202939,161,16,0.743,0.951,0,0,0,1,1
asset_058,workstation,5900/tcp open vnc VNC protocol 3.8,817267011,564324548,626780,297745,51,25,0.296,0.361,1,0,0,1,0
asset_059,iot,22/tcp open ssh OpenSSH 8.2p1,595164665,314679331,732295,990949,64,82,0.868,0.491,0,1,1,1,1
asset_060,network_device,3306/tcp open mysql MySQL 5.7.31,198958983,56165334,265742,987776,441,62,0.114,0.065,1,0,0,0,0
